"sport","height_converted","weight","age","female","color","symbol","height"
"fencing",68,180,28.1150684931507,1,"#4DAF4A","16",68
"fencing",68,160,31.4465753424658,1,"#4DAF4A","16",68
"field hockey",61,120,17.6767123287671,1,"#984EA3","16",61
"field hockey",66,140,28.2219178082192,1,"#984EA3","16",66
"field hockey",63,130,31.3808219178082,1,"#984EA3","16",63
"field hockey",70,150,31.0301369863014,1,"#984EA3","16",70
"field hockey",66,141,27.8027397260274,1,"#984EA3","16",66
"field hockey",66,140,26.4219178082192,1,"#984EA3","16",66
"field hockey",63,130,27.5479452054795,1,"#984EA3","16",63
"field hockey",63,118,29.2164383561644,1,"#984EA3","16",63
"field hockey",63,145,24.8602739726027,1,"#984EA3","16",63
"field hockey",62,NA,22.2082191780822,1,"#984EA3","16",62
"field hockey",63,127,25.0849315068493,1,"#984EA3","16",63
"field hockey",64,128,26.7780821917808,1,"#984EA3","16",64
"field hockey",64,128,26.2849315068493,1,"#984EA3","16",64
"field hockey",65,130,26.5424657534247,1,"#984EA3","16",65
"field hockey",63,128,26.6821917808219,1,"#984EA3","16",63
"field hockey",62,116,24.8630136986301,1,"#984EA3","16",62
"golf",69,150,27.6630136986301,0,"#FF7F00","17",69
"golf",76,190,38.1506849315069,0,"#FF7F00","17",76
"golf",72,200,26.0191780821918,0,"#FF7F00","17",72
"golf",75,180,37.7753424657534,0,"#FF7F00","17",75
"golf",67,142,31.3753424657534,1,"#FF7F00","17",67
"golf",71,160,21.4986301369863,1,"#FF7F00","17",71
"gymnastics",68,165,29.6493150684932,0,"#FFFF33","17",68
"gymnastics",65,150,24.9808219178082,0,"#FFFF33","17",65
"gymnastics",67,150,24.7835616438356,0,"#FFFF33","17",67
"gymnastics",65,140,23.827397260274,0,"#FFFF33","17",65
"gymnastics",67,155,25.441095890411,0,"#FFFF33","17",67
"gymnastics",56,105,19.4082191780822,1,"#FFFF33","17",56
"gymnastics",62,110,20.6109589041096,1,"#FFFF33","17",62
"gymnastics",60,107,16.1671232876712,1,"#FFFF33","17",60
"gymnastics",62,102,19.1534246575342,1,"#FFFF33","17",62
"gymnastics",62,115,22.213698630137,1,"#FFFF33","17",62
"gymnastics",63,118,17.8739726027397,0,"#FFFF33","17",63
"gymnastics",64,105,21.758904109589,0,"#FFFF33","17",64
"gymnastics",63,97,19.4082191780822,0,"#FFFF33","17",63
"gymnastics",68,123,19.2054794520548,0,"#FFFF33","17",68
"gymnastics",69,125,19.0054794520548,0,"#FFFF33","17",69
"gymnastics",63,95,16.8219178082192,0,"#FFFF33","17",63
"gymnastics",69,130,28.8794520547945,1,"#FFFF33","17",69
"gymnastics",64,128,18.2465753424658,1,"#FFFF33","17",64
"judo",72,200,24.8438356164384,0,"#E41A1C","17",72
"judo",68,170,27.5068493150685,0,"#E41A1C","17",68
"judo",71,178,30.4547945205479,0,"#E41A1C","17",71
"judo",63,115,25.6602739726027,1,"#E41A1C","17",63
"judo",68,165,26.1123287671233,1,"#E41A1C","17",68
"judo",63,130,30.1397260273973,1,"#E41A1C","17",63
"modern pentathlon",74,174,24.2219178082192,0,"#377EB8","17",74
"modern pentathlon",68,139,22.7178082191781,1,"#377EB8","17",68
"modern pentathlon",70,134,24.8465753424658,1,"#377EB8","17",70
"rowing",74,202,24.9369863013699,0,"#4DAF4A","17",74
"rowing",71,158,30.4575342465753,0,"#4DAF4A","17",71
"rowing",77,215,27.558904109589,0,"#4DAF4A","17",77
