Median of Age			
Country	Median age	Median height, cm	Average weight
Jamaica	26.4	175.0	71.1
Japan	25.2	169.3	64.2
Jordan	24.7	173.0	64.8
Kazakhstan	25.9	177.1	74.0
Kenya	24.8	169.2	58.2
Kiribati	21.3	164.3	76.0
Kuwait	29.0	179.3	79.1
Kyrgyzstan	22.8	175.5	73.2
Lao People's Democratic Republic	18.0	166.0	58.3
Latvia	26.2	181.4	77.9
Lebanon	21.8	174.3	69.1
Lesotho	23.0	169.5	58.5
Liberia	26.0	173.3	71.0
Libya	28.5	172.5	62.5
Liechtenstein	26.3	174.7	67.3
Lithuania	27.2	183.8	80.8
Luxembourg	29.2	177.0	67.3
Madagascar	24.6	169.4	64.6
Malawi	23.0	171.3	71.3
Malaysia	23.8	168.8	62.7
Maldives	19.4	164.6	54.2
Mali	25.5	168.0	77.0
Malta	24.4	173.2	72.0
Marshall Islands	20.5	173.3	74.5
Mauritania	22.5	165.0	55.5
Mauritius	24.1	171.0	63.8
Mexico	24.9	171.9	67.9
Monaco	28.8	180.3	73.2
Mongolia	26.2	169.6	67.2
Montenegro	27.3	183.3	82.6
Morocco	25.4	175.2	66.8
Mozambique	22.2	172.2	65.6
Myanmar	28.0	167.7	61.0
Namibia	27.6	169.9	57.4
Nauru	27.0	172.0	106.5
Nepal	21.5	164.0	62.0
Netherlands	27.2	180.4	73.7
New Zealand	25.6	177.6	73.6
Nicaragua	25.2	174.0	58.3
Niger	23.7	172.8	64.6
Nigeria	25.1	180.8	66.7
Norway	27.7	178.3	86.5
Oman	22.8	168.3	65.5
Pakistan	25.7		
Palau	21.4	163.4	57.4
Palestine	21.6	171.2	63.0
Panama	22.9	175.3	73.2
Papua New Guinea	24.3	166.7	66.0
Paraguay	22.5	174.0	68.0
People's Republic of China	24.3	176.6	71.3
Peru	24.3	170.0	62.9
Philippines	25.7	168.7	71.1
Poland	26.5	180.5	76.4
Portugal	28.2	174.4	69.0
Puerto Rico	23.6	179.7	75.1
Qatar	22.3	170.8	63.7
Republic of Korea	25.6	173.7	69.0
Republic of Moldova	24.3	176.7	73.3
Romania	26.0	176.8	75.4
Russian Federation	26.1	179.0	74.4
Rwanda	24.8	164.2	59.0
Saint Kitts and Nevis	24.4	172.0	70.4
Saint Lucia	26.3	170.5	64.5
Samoa	27.5	178.0	78.8
San Marino	29.7	169.0	69.3
Sao Tome and Principe	23.0	173.5	64.5
Saudi Arabia	29.2		77.7
Senegal	24.3	180.5	74.1
Serbia	26.4	186.0	82.7
Seychelles	19.2	172.6	71.8
Sierra Leone	33.0	176.0	64.0
Singapore	23.5	166.9	63.0
Slovakia	27.3	177.6	71.7
Slovenia	26.0	176.8	71.4
Solomon Islands	28.3		58.0
Somalia	19.5		
South Africa	25.4	175.0	69.0
Spain	27.1	177.4	73.3
Sri Lanka	27.2	171.0	61.4
St Vincent and the Grenadines	22.0	180.5	73.5
Sudan	23.0	175.8	61.7
Suriname	20.8	168.3	65.0
Swaziland	22.0	175.3	72.7
Sweden	28.4	177.9	73.0
