"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","kfold1","kfold2","kfold3","kfold4","kfold5","kfold6","kfold7","kfold8","kfold9","kfold10"
19,183,91,0,0,0,0,0,"Cycling","Men's BMX","#E41A1C","16",1,1,2,8,5,7,5,4,3,3
33,176,70,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8","15",9,5,2,1,5,9,8,7,9,5
33,183,90,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",6,2,5,7,5,9,2,1,4,5
28,192,98,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",9,2,8,7,1,10,3,7,2,10
28,163,51,1,0,0,0,0,"Athletics","Women's 3000m Steeplechase","#377EB8","15",5,9,4,6,3,2,4,8,6,3
27,170,66,0,0,0,0,0,"Judo","Men's -66kg","#E41A1C","17",7,7,4,6,1,8,7,7,8,3
29,170,75,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",4,4,7,5,7,1,6,5,4,7
29,165,62,0,0,1,0,1,"Weightlifting","Men's 62kg","#FF7F00","18",8,10,7,4,1,3,10,9,10,8
25,186,81,0,0,0,0,0,"Beach Volleyball","Men's Beach Volleyball","#FF7F00","15",2,5,8,2,7,2,5,7,1,5
33,172,55,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",6,8,6,3,2,1,1,1,9,8
28,174,58,1,0,0,0,0,"Athletics","Women's 800m","#377EB8","15",1,7,10,4,5,4,8,3,7,2
23,193,78,0,0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33","17",10,2,8,5,6,9,1,1,4,7
21,169,58,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",4,9,8,10,9,9,9,5,4,8
25,152,52,1,0,0,1,1,"Diving","Women's 10m Platform, Women's Synchronised 10m Platform","#377EB8","16",8,6,1,9,8,1,1,6,1,8
30,180,72,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3","15",5,3,10,5,3,7,6,2,1,10
25,193,91,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",4,6,7,10,3,8,4,10,2,2
33,182,72,0,0,0,0,0,"Athletics","Men's 50km Race Walk","#377EB8","15",1,2,4,7,1,7,5,2,5,5
33,182,73,0,0,0,0,0,"Athletics","Men's 20km Race Walk","#377EB8","15",2,1,3,4,7,6,6,9,2,1
25,186,63,1,0,0,0,0,"Swimming","Women's 200m Backstroke","#FFFF33","17",5,10,3,9,1,8,5,3,8,7
25,190,78,0,0,0,0,0,"Athletics","Men's Pole Vault","#377EB8","15",10,2,10,2,5,10,8,8,8,6
20,192,80,0,0,0,0,0,"Athletics","Men's Pole Vault","#377EB8","15",5,2,4,10,6,10,8,2,1,5
28,167,48,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",9,7,4,4,1,7,9,4,1,2
23,173,63,1,0,0,0,0,"Swimming","Women's 100m Freestyle, Women's 200m Freestyle","#FFFF33","17",10,3,5,9,2,7,10,1,5,6
18,167,55,1,0,0,0,0,"Swimming","Women's 100m Freestyle","#FFFF33","17",6,1,8,5,1,4,7,7,4,3
32,173,57,1,0,0,0,0,"Judo","Women's -57kg","#E41A1C","17",7,10,7,3,9,10,2,2,6,7
26,186,81,0,0,0,0,0,"Swimming","Men's 4x100m Medley Relay","#FFFF33","17",4,10,7,2,7,4,6,3,8,4
23,170,55,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8","18",8,3,4,1,8,5,10,9,3,2
23,163,62,1,0,0,0,0,"Hockey","Women's Hockey","#A65628","16",6,2,3,3,1,9,7,8,7,4
23,169,90,1,0,0,0,0,"Athletics","Women's Hammer Throw","#377EB8","15",1,3,8,5,1,1,6,6,10,7
18,178,72,0,0,0,0,0,"Swimming","Men's 200m Butterfly","#FFFF33","17",2,8,3,3,7,3,1,9,9,2
28,191,86,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",10,7,5,1,2,8,9,5,2,3
25,170,58,1,0,0,0,0,"Badminton","Women's Singles","#4DAF4A","15",8,7,3,5,4,10,4,10,8,9
29,178,68,1,0,0,0,0,"Athletics","Women's 400m, Women's 4 x 400m Relay","#377EB8","15",9,10,4,10,9,2,9,9,1,6
33,188,78,0,0,0,1,1,"Badminton","Mixed Doubles","#4DAF4A","15",3,8,5,10,9,9,5,7,8,3
22,192,95,1,0,0,0,0,"Athletics","Women's Discus Throw","#377EB8","15",5,9,2,8,9,1,4,10,1,1
28,175,68,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",6,7,2,8,3,4,4,4,8,10
24,174,63,1,0,0,0,0,"Athletics","Women's Shot Put","#377EB8","15",7,1,8,5,2,10,6,5,7,2
21,186,85,0,0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m","#A65628","15",2,4,5,6,3,9,3,2,4,6
20,180,67,1,0,0,0,0,"Hockey","Women's Hockey","#A65628","16",10,9,2,5,8,1,1,9,7,8
31,165,48,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",6,2,4,1,3,5,3,10,5,1
19,185,70,0,0,0,0,0,"Sailing","Men's 470","#984EA3","17",10,4,8,4,9,3,2,10,6,1
18,179,69,0,0,0,0,0,"Sailing","Men's RS-X","#984EA3","17",1,2,9,8,2,7,2,5,1,7
