"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","kfold1","kfold2","kfold3","kfold4","kfold5","kfold6","kfold7","kfold8","kfold9","kfold10"
23,170,60,0,0,0,0,0,"Judo","Men's -60kg","#E41A1C","17",6,6,2,9,5,3,3,3,3,6
33,193,125,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8","15",3,5,3,6,1,7,5,7,6,2
30,187,76,0,0,0,0,0,"Athletics","Men's 1500m","#377EB8","15",9,1,7,2,7,2,8,6,6,5
26,178,85,1,0,0,0,0,"Athletics","Women's Javelin Throw","#377EB8","15",8,6,5,6,2,9,10,1,1,7
27,182,80,0,0,0,0,0,"Handball","Men's Handball","#FFFF33","16",1,7,7,6,8,8,1,3,7,3
30,182,73,1,0,0,0,0,"Rowing","Women's Pair","#4DAF4A","17",6,1,10,3,9,4,6,3,5,10
23,187,75,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",8,2,8,2,7,4,2,6,10,5
27,190,80,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8","15",8,6,9,2,6,9,5,3,5,7
28,173,60,1,0,0,0,0,"Rowing","Women's Single Sculls","#4DAF4A","17",10,6,6,6,1,8,5,1,9,6
28,171,64,1,0,0,0,0,"Water Polo","Women's Water Polo","#984EA3","18",3,8,9,9,2,1,4,1,4,1
22,171,62,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",9,7,4,2,9,1,1,1,1,3
22,175,63,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",9,1,1,5,7,9,5,4,3,3
25,162,69,0,0,0,0,0,"Weightlifting","Men's 69kg","#FF7F00","18",8,4,2,4,7,5,3,2,10,3
25,175,85,0,0,0,0,0,"Weightlifting","Men's 85kg","#FF7F00","18",9,6,9,6,7,2,7,6,2,1
26,171,60,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A","18",8,9,4,7,3,7,4,1,3,5
34,177,66,0,0,0,0,0,"Athletics","Men's 3000m Steeplechase","#377EB8","15",5,2,1,2,1,4,9,6,10,9
35,180,61,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",7,9,7,1,4,10,1,2,2,4
26,165,55,1,0,0,0,0,"Athletics","Women's 100m","#377EB8","15",10,2,10,3,4,10,4,10,10,7
21,170,47,1,0,0,0,0,"Athletics","Women's 5000m","#377EB8","15",4,10,1,3,7,3,4,9,10,3
34,173,84,0,0,0,0,0,"Wrestling","Men's 84kg Freestyle","#FFFF33","18",7,1,5,10,1,1,2,1,2,1
22,170,66,0,0,0,0,0,"Wrestling","Men's 66kg Greco-Roman","#FFFF33","18",8,5,7,8,6,7,10,5,5,4
27,179,82,0,0,0,0,0,"Fencing","Men's Individual Sabre","#984EA3","16",4,5,5,8,9,9,1,8,1,5
20,160,62,1,0,0,1,1,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard","#377EB8","16",1,4,9,4,3,10,4,5,9,8
27,177,78,0,0,0,0,0,"Badminton","Men's Singles","#4DAF4A","15",10,2,6,7,1,2,4,1,10,6
24,173,53,1,0,0,0,0,"Athletics","Women's Pole Vault","#377EB8","15",2,9,10,1,2,8,4,8,8,8
27,168,60,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",8,8,8,10,2,3,9,10,5,10
25,159,54,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8","15",7,6,10,6,8,1,8,7,3,7
20,162,75,1,0,0,0,0,"Weightlifting","Women's 75kg","#FF7F00","18",6,2,3,4,8,5,7,3,7,10
17,170,53,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8","15",4,1,2,2,8,10,6,9,7,6
23,166,68,1,0,0,0,0,"Swimming","Women's 50m Freestyle","#FFFF33","17",7,3,5,8,1,2,9,2,9,4
31,180,64,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8","15",2,6,1,4,10,10,7,1,1,8
23,152,58,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",6,2,3,2,3,8,7,3,5,8
21,188,82,0,0,1,0,1,"Fencing","Men's Individual Foil, Men's Team Foil","#984EA3","16",5,6,2,9,10,8,1,1,6,1
18,153,55,0,0,0,0,0,"Wrestling","Men's 55kg Greco-Roman","#FFFF33","18",9,5,1,6,9,3,10,10,7,5
33,182,77,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",6,6,1,8,10,1,2,3,8,3
25,184,78,0,0,0,0,0,"Athletics","Men's 200m","#377EB8","15",2,5,9,5,6,8,6,10,3,8
22,172,70,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",8,8,10,10,3,3,10,7,6,7
34,158,47,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",7,5,10,7,3,4,4,6,6,4
22,162,50,1,0,0,0,0,"Cycling","Women's Cross-country","#E41A1C","16",10,1,7,9,7,1,9,2,8,1
31,180,68,0,0,0,0,0,"Cycling","Men's Cross-country","#E41A1C","16",8,2,7,2,10,10,4,7,9,8
21,168,62,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",3,9,2,6,8,4,3,8,8,8
28,168,62,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",9,9,5,5,6,7,6,2,7,7
28,172,72,0,0,0,0,0,"Judo","Men's -73kg","#E41A1C","17",10,6,8,8,10,4,2,10,4,1
31,175,58,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8","18",3,5,8,4,2,7,1,9,4,1
29,208,110,0,0,0,0,0,"Basketball","Men's Basketball","#984EA3","15",8,5,1,7,2,4,10,8,2,2
31,172,80,0,0,0,0,0,"Shooting","Men's Skeet","#FF7F00","17",2,9,4,8,5,10,3,7,9,1
24,167,52,1,0,0,0,0,"Athletics","Women's 1500m","#377EB8","15",10,6,10,3,5,5,7,4,4,7
19,192,83,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3","15",8,1,2,9,8,2,9,4,8,6
17,175,60,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A","18",7,6,5,3,9,8,10,7,2,9
27,184,84,0,0,0,0,0,"Wrestling","Men's 84kg Greco-Roman","#FFFF33","18",7,8,2,9,6,1,8,7,5,6
27,171,72,1,0,0,1,1,"Rowing","Women's Eight","#4DAF4A","17",7,9,7,2,5,5,1,10,5,4
31,166,63,1,0,0,0,0,"Weightlifting","Women's 63kg","#FF7F00","18",10,3,1,4,9,1,9,10,5,9
37,188,66,1,0,0,0,0,"Athletics","Women's High Jump","#377EB8","15",8,6,1,5,5,5,1,3,9,2
22,192,89,0,0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33","17",3,9,6,9,5,2,10,5,8,10
29,162,51,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8","18",10,2,10,4,10,6,1,6,8,8
27,178,79,0,0,0,0,0,"Athletics","Men's 100m","#377EB8","15",4,5,10,1,9,3,10,2,5,7
30,171,73,0,0,0,0,0,"Judo","Men's -73kg","#E41A1C","17",9,1,8,8,2,2,6,9,8,2
23,180,79,0,0,0,0,0,"Athletics","Men's 100m, Men's 200m, Men's 4 x 100m Relay","#377EB8","15",1,1,9,7,1,8,6,10,10,7
20,173,65,1,0,0,0,0,"Swimming","Women's 200m Butterfly","#FFFF33","17",9,5,2,6,10,8,4,1,8,4
35,189,70,0,0,0,0,0,"Athletics","Men's 50km Race Walk","#377EB8","15",3,7,9,7,6,5,3,6,1,4
23,194,87,0,0,0,0,0,"Athletics","Men's Triple Jump","#377EB8","15",2,3,2,2,9,1,6,8,6,4
27,193,120,1,0,0,0,0,"Athletics","Women's Shot Put","#377EB8","15",3,9,5,9,3,4,10,3,7,10
29,189,90,0,1,0,0,1,"Rowing","Men's Eight","#4DAF4A","17",6,10,8,5,8,5,5,7,2,9
24,183,75,0,0,0,0,0,"Athletics","Men's 4 x 100m Relay","#377EB8","15",7,5,5,5,9,7,6,9,10,8
23,183,80,0,0,0,0,0,"Badminton","Mixed Doubles","#4DAF4A","15",5,7,4,4,7,4,2,10,6,5
27,188,88,0,0,0,0,0,"Athletics","Men's Decathlon","#377EB8","15",7,4,6,5,6,3,10,10,10,4
18,168,58,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8","15",8,7,3,1,8,10,2,4,9,4
27,162,65,1,0,0,0,0,"Athletics","Women's 200m","#377EB8","15",10,8,2,9,4,6,7,10,9,7
25,153,52,1,0,0,0,0,"Athletics","Women's 100m Hurdles","#377EB8","15",10,5,7,5,7,5,10,8,1,6
23,179,70,1,0,0,1,1,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle","#FFFF33","17",8,2,1,1,6,7,7,8,8,7
23,201,102,0,1,1,0,2,"Swimming","Men's 100m Freestyle, Men's 4x100m Freestyle Relay","#FFFF33","17",2,10,4,3,2,9,8,2,3,7
19,190,84,0,0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 4x100m Freestyle Relay","#FFFF33","17",8,1,2,9,9,2,4,6,1,4
28,182,64,1,0,0,0,0,"Athletics","Women's Heptathlon","#377EB8","15",1,4,3,5,10,1,5,1,7,2
21,186,74,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",7,1,2,9,3,9,2,7,7,6
28,188,88,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",8,7,5,10,7,10,5,3,4,4
35,194,103,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",5,8,10,4,6,8,8,3,6,9
28,175,75,0,0,0,0,0,"Swimming","Men's 100m Breaststroke","#FFFF33","17",10,6,8,10,4,2,8,2,10,8
16,160,50,1,0,0,0,0,"Swimming","Women's 50m Freestyle","#FFFF33","17",1,4,10,6,3,8,10,8,5,9
31,188,96,0,0,0,0,0,"Rowing","Men's Four","#4DAF4A","17",1,3,6,5,2,9,5,10,7,9
33,171,61,1,0,0,0,0,"Hockey","Women's Hockey","#A65628","16",3,4,1,6,2,9,6,8,3,7
20,202,90,0,2,1,0,3,"Swimming","Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay","#FFFF33","17",7,6,10,1,9,2,4,4,8,9
21,178,76,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3","17",7,9,1,6,4,6,6,10,9,1
25,177,66,1,0,0,0,0,"Handball","Women's Handball","#FFFF33","16",3,4,4,7,6,9,9,8,4,4
21,178,78,1,0,0,1,1,"Judo","Women's -78kg","#E41A1C","17",7,8,8,6,2,6,6,1,3,4
27,194,80,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8","15",1,2,9,9,4,5,9,6,7,3
34,165,50,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",2,8,4,8,1,10,6,10,10,6
27,170,67,1,0,0,0,0,"Handball","Women's Handball","#FFFF33","16",5,6,3,1,3,5,2,1,4,2
28,189,82,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",3,9,10,1,1,9,7,10,8,8
29,196,113,0,0,0,0,0,"Handball","Men's Handball","#FFFF33","16",7,3,1,7,10,10,4,10,3,3
19,174,66,0,0,0,0,0,"Table Tennis","Men's Singles","#A65628","17",5,7,6,9,10,4,3,4,9,5
23,178,79,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",6,1,2,3,8,6,7,5,2,6
28,196,92,0,0,0,0,0,"Handball","Men's Handball","#FFFF33","16",2,1,6,6,4,9,2,10,2,1
25,160,50,1,0,0,0,0,"Athletics","Women's 100m","#377EB8","15",4,9,4,7,10,8,2,9,8,6
24,175,65,1,0,0,0,0,"Handball","Women's Handball","#FFFF33","16",7,4,2,10,9,5,9,4,2,9
37,192,88,0,0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, CODEX ONE","#4DAF4A","16",4,5,10,10,3,9,5,8,10,2
25,178,68,0,0,0,0,0,"Badminton","Mixed Doubles","#4DAF4A","15",10,4,1,8,5,4,6,2,3,8
30,160,58,1,0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions","#FF7F00","17",8,8,3,4,8,8,8,7,7,8
25,170,74,0,0,0,0,0,"Wrestling","Men's 74kg Greco-Roman","#FFFF33","18",7,8,7,6,4,10,1,2,5,2
23,172,66,0,0,0,0,0,"Wrestling","Men's 66kg Freestyle","#FFFF33","18",3,7,6,3,8,5,5,5,6,2
23,169,65,0,0,0,0,0,"Athletics","Men's 100m","#377EB8","15",5,2,8,4,2,8,2,2,3,1
25,165,68,1,0,0,0,0,"Weightlifting","Women's 69kg","#FF7F00","18",10,3,5,3,1,2,7,3,1,7
21,190,60,0,0,0,0,0,"Athletics","Men's 10,000m","#377EB8","15",5,5,3,7,5,3,3,5,7,8
21,174,73,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",7,8,6,2,7,5,8,3,7,10
21,178,71,1,0,0,0,0,"Athletics","Women's 100m Hurdles","#377EB8","15",7,10,9,7,5,4,5,4,1,3
24,170,57,1,0,0,0,0,"Athletics","Women's 100m, Women's 200m","#377EB8","15",9,2,10,2,8,8,6,10,3,10
31,170,60,1,0,0,0,0,"Shooting","Women's Trap","#FF7F00","17",1,5,3,4,4,2,10,8,7,6
24,174,66,0,0,0,0,0,"Badminton","Men's Doubles","#4DAF4A","15",8,6,8,8,8,7,6,10,5,5
24,188,80,0,0,0,0,0,"Sailing","Men's RS-X","#984EA3","17",3,7,10,5,1,8,10,6,9,8
20,160,64,1,0,0,0,0,"Athletics","Women's 100m, Women's 4 x 100m Relay","#377EB8","15",3,9,10,2,2,1,7,7,3,4
26,192,104,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",5,8,10,8,4,3,1,2,10,7
29,177,61,1,0,0,0,0,"Athletics","Women's 20km Race Walk","#377EB8","15",1,8,8,9,3,4,2,8,8,6
23,183,80,0,0,0,1,1,"Canoe Slalom","Men's Kayak (K1)","#FFFF33","15",9,9,3,7,4,1,5,3,1,6
35,183,90,0,0,0,0,0,"Sailing","Men's Finn","#984EA3","17",1,2,10,6,1,8,4,1,1,8
23,184,80,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A","18",1,8,9,10,1,4,2,8,9,10
33,167,50,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",4,9,3,2,4,10,9,6,6,8
29,178,59,1,0,0,0,0,"Athletics","Women's High Jump","#377EB8","15",7,2,7,3,9,7,2,5,9,2
20,160,65,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",10,5,6,4,2,6,2,6,5,1
24,178,67,0,0,0,0,0,"Cycling","Men's Individual Time Trial, Men's Road Race","#E41A1C","16",10,10,8,4,9,7,10,8,2,7
21,192,120,0,0,0,0,0,"Wrestling","Men's 120kg Freestyle","#FFFF33","18",6,9,9,5,5,10,5,10,4,3
27,179,84,0,0,0,0,0,"Wrestling","Men's 84kg Greco-Roman","#FFFF33","18",7,4,6,7,3,8,3,3,4,3
24,182,74,0,0,0,0,0,"Fencing","Men's Individual Foil, Men's Team Foil","#984EA3","16",2,6,4,4,10,8,8,7,9,8
25,166,56,1,0,0,0,0,"Athletics","Women's 4 x 100m Relay","#377EB8","15",10,8,6,5,1,10,6,4,6,3
24,191,79,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A","18",10,10,8,2,7,3,3,3,7,2
23,183,79,0,0,0,0,0,"Canoe Slalom","Men's Kayak (K1)","#FFFF33","15",1,10,4,7,8,7,7,1,4,5
27,178,105,0,0,0,0,0,"Weightlifting","Men's 105kg","#FF7F00","18",10,1,3,8,6,3,5,7,4,4
24,160,49,1,0,0,0,0,"Athletics","Women's 800m","#377EB8","15",10,5,7,3,1,10,5,3,6,6
32,165,78,0,0,0,0,0,"Athletics","Men's 800m","#377EB8","15",3,8,7,2,3,9,3,6,5,5
21,180,78,0,0,0,0,0,"Sailing","Men's Laser","#984EA3","17",9,2,10,10,1,3,1,5,3,9
27,155,51,1,0,0,0,0,"Hockey","Women's Hockey","#A65628","16",1,9,6,6,8,5,5,9,6,3
21,160,74,0,0,0,0,0,"Athletics","Men's 200m","#377EB8","15",2,9,3,7,3,3,10,4,9,6
22,171,72,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",3,1,9,10,8,4,1,3,3,4
20,168,62,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",8,1,3,7,6,10,2,3,6,10
21,178,66,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",2,6,2,5,1,5,3,6,5,9
21,176,65,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",3,8,3,3,6,1,7,8,1,8
21,179,71,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",2,10,6,4,9,2,1,3,10,2
21,175,65,0,0,0,0,0,"Athletics","Men's 400m","#377EB8","15",10,5,6,9,5,9,8,6,6,7
21,176,71,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",7,10,4,10,10,1,2,10,10,4
20,166,69,1,0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions","#FF7F00","17",6,10,9,4,10,6,4,5,7,4
23,168,68,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",4,7,6,3,1,7,2,2,9,10
24,173,68,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",4,6,3,5,6,10,3,3,6,6
27,170,70,0,0,0,0,0,"Shooting","Men's Double Trap","#FF7F00","17",4,8,8,3,7,7,4,5,6,3
29,169,68,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",8,4,5,5,10,4,1,1,1,2
21,178,75,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",4,10,4,7,3,5,4,8,10,6
22,181,80,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",3,1,10,10,4,6,5,8,6,7
31,180,104,0,0,0,0,0,"Shooting","Men's Trap, Men's Double Trap","#FF7F00","17",6,7,4,6,2,7,10,5,4,1
41,178,70,0,0,0,1,1,"Shooting","Men's Skeet","#FF7F00","17",9,7,9,3,9,4,3,5,9,4
30,187,65,0,0,0,0,0,"Athletics","Men's 800m","#377EB8","15",7,10,2,9,9,8,2,9,6,8
15,173,65,0,0,0,0,0,"Swimming","Men's 100m Butterfly","#FFFF33","17",6,10,8,10,7,10,2,2,7,9
23,191,96,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8","15",1,10,10,10,10,9,1,3,4,4
18,175,65,0,0,0,0,0,"Athletics","Men's 1500m","#377EB8","15",3,9,6,2,8,3,5,8,4,5
20,170,55,0,0,0,0,0,"Athletics","Men's 1500m","#377EB8","15",8,6,1,3,10,10,1,4,4,3
19,162,60,1,0,0,0,0,"Athletics","Women's 100m","#377EB8","15",1,7,5,7,4,2,4,3,4,6
24,171,67,0,0,0,0,0,"Athletics","Men's 100m","#377EB8","15",1,6,8,9,10,5,1,1,10,3
22,175,83,0,0,0,0,0,"Weightlifting","Men's 85kg","#FF7F00","18",7,5,7,9,2,1,2,2,3,10
23,183,74,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",4,3,7,1,10,7,6,6,10,4
17,155,43,1,0,0,0,0,"Athletics","Women's 100m","#377EB8","15",10,1,9,1,4,6,6,10,2,9
17,160,50,1,0,0,0,0,"Archery","Women's Individual","#E41A1C","15",1,6,1,5,6,5,6,8,6,8
21,170,65,0,0,0,0,0,"Athletics","Men's 400m","#377EB8","15",5,9,5,10,10,9,6,9,9,7
28,195,110,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8","15",8,10,6,5,7,2,8,6,1,9
21,189,84,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",6,9,3,6,8,1,8,6,7,1
26,164,55,1,0,0,0,0,"Sailing","Women's RS-X","#984EA3","17",3,8,10,9,2,9,4,8,1,6
16,182,71,1,0,0,0,0,"Athletics","Women's 400m","#377EB8","15",3,3,5,7,4,5,7,8,10,4
23,175,73,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",5,1,5,6,8,2,7,2,7,6
22,178,57,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8","15",7,8,4,9,1,1,4,4,10,9
20,170,65,0,0,0,0,0,"Table Tennis","Men's Singles","#A65628","17",7,8,7,4,6,7,7,7,9,3
28,158,42,1,0,0,0,0,"Athletics","Women's 1500m, Women's 5000m","#377EB8","15",9,10,5,10,1,9,9,9,7,3
20,176,75,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",1,6,7,8,1,3,6,9,6,10
18,175,65,0,0,0,0,0,"Swimming","Men's 200m Butterfly","#FFFF33","17",5,8,2,10,4,9,9,6,7,3
23,166,55,1,0,0,0,0,"Athletics","Women's 100m","#377EB8","15",9,8,7,6,4,2,2,7,8,8
23,170,66,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",2,3,2,3,6,10,6,9,5,4
24,205,110,0,0,0,0,0,"Swimming","Men's 100m Breaststroke","#FFFF33","17",3,10,1,10,3,6,3,3,10,2
31,172,67,0,0,0,0,0,"Cycling","Men's Individual Time Trial, Men's Road Race","#E41A1C","16",7,2,5,8,6,2,5,3,7,5
24,192,156,0,0,0,0,0,"Weightlifting","Men's +105kg","#FF7F00","18",8,9,3,7,10,8,9,3,6,2
26,172,62,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3","15",7,2,5,3,3,10,4,1,10,9
41,165,64,1,0,0,0,0,"Equestrian","Individual Eventing, CARRAIG DUBH","#4DAF4A","16",7,4,9,6,10,10,10,5,4,10
29,178,81,1,0,0,0,0,"Handball","Women's Handball","#FFFF33","16",3,2,5,5,4,8,2,8,1,3
23,176,76,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",7,3,8,3,5,7,3,9,8,8
23,183,76,1,0,0,0,0,"Rowing","Women's Eight","#4DAF4A","17",5,6,4,1,9,1,2,10,4,8
27,185,74,0,0,0,0,0,"Athletics","Men's 3000m Steeplechase","#377EB8","15",2,7,1,1,10,9,1,8,6,9
39,172,62,1,0,0,0,0,"Athletics","Women's Triple Jump","#377EB8","15",4,3,6,8,10,6,1,2,3,1
23,172,68,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3","17",7,8,4,7,8,4,1,4,9,8
28,178,87,0,0,0,0,0,"Wrestling","Men's 84kg Freestyle","#FFFF33","18",8,7,2,7,7,8,6,6,9,7
45,180,100,0,0,0,0,0,"Shooting","Men's Trap, Men's Double Trap","#FF7F00","17",4,10,4,3,3,6,5,9,7,4
27,184,75,0,0,0,0,0,"Hockey","Men's Hockey","#A65628","16",2,9,6,10,4,8,1,10,8,8
31,171,71,0,0,0,0,0,"Hockey","Men's Hockey","#A65628","16",5,9,2,9,2,1,9,5,8,7
26,171,60,1,0,0,0,0,"Sailing","Women's 470","#984EA3","17",4,8,6,2,4,4,10,3,7,3
40,199,135,0,0,0,0,0,"Athletics","Men's Discus Throw","#377EB8","15",7,3,4,8,7,3,2,2,3,4
22,189,94,0,0,0,0,0,"Rowing","Men's Single Sculls","#4DAF4A","17",1,3,3,3,7,7,9,2,4,1
19,185,75,0,0,0,0,0,"Swimming","Men's 200m Breaststroke","#FFFF33","17",1,2,4,1,10,2,3,6,5,8
20,185,96,0,0,0,0,0,"Wrestling","Men's 96kg Greco-Roman","#FFFF33","18",9,10,2,2,6,4,4,4,9,10
21,164,62,1,0,0,0,0,"Cycling","Women's BMX","#E41A1C","16",10,5,10,8,3,9,6,9,1,4
24,186,75,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8","15",4,3,9,9,1,4,9,10,6,6
20,188,89,0,0,0,0,0,"Canoe Sprint","Men's Kayak Four (K4) 1000m","#A65628","15",8,7,5,9,8,10,4,6,4,8
26,197,100,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",3,6,5,5,2,1,5,10,9,6
29,200,96,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A","18",2,1,2,7,7,10,3,9,8,6
21,173,66,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",5,2,6,4,2,3,7,3,10,3
25,175,75,0,0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33","17",9,9,8,9,9,7,9,8,5,7
30,171,60,1,0,0,0,0,"Athletics","Women's Triple Jump","#377EB8","15",3,6,5,3,10,6,3,6,8,6
26,178,65,1,0,0,0,0,"Athletics","Women's 400m","#377EB8","15",4,3,2,9,2,10,4,8,1,7
20,184,82,0,0,0,0,0,"Fencing","Men's Individual Epee","#984EA3","16",5,4,7,3,8,7,6,5,5,7
34,185,85,0,0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m","#A65628","15",10,1,3,2,9,3,2,5,8,3
22,191,96,0,0,0,0,0,"Wrestling","Men's 96kg Greco-Roman","#FFFF33","18",1,3,3,4,2,3,8,5,2,10
20,185,80,0,0,0,0,0,"Swimming","Men's 400m Individual Medley","#FFFF33","17",3,2,1,10,1,7,10,2,5,4
17,170,72,1,0,0,0,0,"Swimming","Women's 50m Freestyle","#FFFF33","17",6,2,5,4,1,5,10,6,5,9
40,158,53,1,0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, LA FAIR","#4DAF4A","16",4,6,9,7,5,3,6,8,1,8
37,162,55,1,0,1,0,1,"Equestrian","Individual Eventing, Team Eventing, WEGA","#4DAF4A","16",3,8,10,3,7,2,5,4,1,10
25,174,85,0,0,0,0,0,"Table Tennis","Men's Singles","#A65628","17",6,1,9,8,9,7,9,3,9,10
27,176,72,1,0,0,0,0,"Wrestling","Women's 72kg Freestyle","#FFFF33","18",3,6,1,4,6,1,1,4,6,8
23,167,61,0,0,0,0,0,"Athletics","Men's 800m, Men's 1500m","#377EB8","15",1,3,10,3,9,2,8,3,10,7
27,190,83,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8","15",6,1,8,5,8,5,2,8,1,2
37,176,68,0,0,0,0,0,"Fencing","Men's Individual Foil","#984EA3","16",10,3,8,5,1,1,7,1,7,7
15,165,60,0,0,0,0,0,"Swimming","Men's 100m Butterfly","#FFFF33","17",7,2,10,3,1,9,10,7,5,5
26,200,110,0,0,0,0,0,"Handball","Men's Handball","#FFFF33","16",7,8,1,6,10,3,4,10,10,7
25,185,72,0,0,0,0,0,"Fencing","Men's Individual Epee","#984EA3","16",1,3,5,4,6,4,8,1,9,1
36,175,85,0,0,0,0,0,"Shooting","Men's Trap","#FF7F00","17",7,10,1,2,7,2,7,8,7,2
26,175,74,0,0,0,0,0,"Wrestling","Men's 74kg Freestyle","#FFFF33","18",8,9,8,8,2,3,4,5,2,6
22,170,60,0,0,0,0,0,"Wrestling","Men's 60kg Greco-Roman","#FFFF33","18",3,8,5,3,6,2,4,8,4,8
27,179,68,1,0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Butterfly","#FFFF33","17",1,7,3,4,4,4,10,10,4,10
29,165,55,1,0,0,0,0,"Swimming","Women's 100m Freestyle","#FFFF33","17",1,3,7,6,4,7,1,6,9,6
30,162,57,1,0,0,0,0,"Badminton","Women's Singles","#4DAF4A","15",8,3,2,1,7,7,5,6,10,10
22,188,86,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3","15",4,1,10,9,5,7,9,3,7,8
40,169,67,1,0,0,0,0,"Shooting","Women's Skeet","#FF7F00","17",9,5,3,3,3,10,9,10,5,8
22,170,65,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",3,3,1,3,3,9,2,9,7,8
20,170,65,1,0,0,0,0,"Swimming","Women's 200m Individual Medley","#FFFF33","17",1,4,2,4,5,9,7,5,10,2
23,180,73,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8","15",7,7,10,5,4,5,3,5,5,6
25,183,73,0,0,0,0,0,"Swimming","Men's 100m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley","#FFFF33","17",4,1,10,4,2,8,6,3,5,2
